d01,#genre#
d0278,http://38.64.72.148/hls/modn/list/4278/chunklist1.m3u8
d0279,http://38.64.72.148/hls/modn/list/4279/chunklist1.m3u8
d0280,http://38.64.72.148/hls/modn/list/4280/chunklist1.m3u8
d0281,http://38.64.72.148/hls/modn/list/4281/chunklist1.m3u8
d0282,http://38.64.72.148/hls/modn/list/4282/chunklist1.m3u8
d0283,http://38.64.72.148/hls/modn/list/4283/chunklist1.m3u8
d0284,http://38.64.72.148/hls/modn/list/4284/chunklist1.m3u8
d0285,http://38.64.72.148/hls/modn/list/4285/chunklist1.m3u8
d0286,http://38.64.72.148/hls/modn/list/4286/chunklist1.m3u8
d0287,http://38.64.72.148/hls/modn/list/4287/chunklist1.m3u8
d0288,http://38.64.72.148/hls/modn/list/4288/chunklist1.m3u8
d0289,http://38.64.72.148/hls/modn/list/4289/chunklist1.m3u8
d0290,http://38.64.72.148/hls/modn/list/4290/chunklist1.m3u8
d0291,http://38.64.72.148/hls/modn/list/4291/chunklist1.m3u8
d0292,http://38.64.72.148/hls/modn/list/4292/chunklist1.m3u8
d0293,http://38.64.72.148/hls/modn/list/4293/chunklist1.m3u8
d0294,http://38.64.72.148/hls/modn/list/4294/chunklist1.m3u8
d0295,http://38.64.72.148/hls/modn/list/4295/chunklist1.m3u8
d0296,http://38.64.72.148/hls/modn/list/4296/chunklist1.m3u8
d0297,http://38.64.72.148/hls/modn/list/4297/chunklist1.m3u8
d0298,http://38.64.72.148/hls/modn/list/4298/chunklist1.m3u8
d0299,http://38.64.72.148/hls/modn/list/4299/chunklist1.m3u8
d0300,http://38.64.72.148/hls/modn/list/4300/chunklist1.m3u8
d0301,http://38.64.72.148/hls/modn/list/4301/chunklist1.m3u8
d0302,http://38.64.72.148/hls/modn/list/4302/chunklist1.m3u8
d0303,http://38.64.72.148/hls/modn/list/4303/chunklist1.m3u8
d0304,http://38.64.72.148/hls/modn/list/4304/chunklist1.m3u8
d0305,http://38.64.72.148/hls/modn/list/4305/chunklist1.m3u8
d0306,http://38.64.72.148/hls/modn/list/4306/chunklist1.m3u8
d0307,http://38.64.72.148/hls/modn/list/4307/chunklist1.m3u8
d0308,http://38.64.72.148/hls/modn/list/4308/chunklist1.m3u8
d0309,http://38.64.72.148/hls/modn/list/4309/chunklist1.m3u8
d0310,http://38.64.72.148/hls/modn/list/4310/chunklist1.m3u8
d0311,http://38.64.72.148/hls/modn/list/4311/chunklist1.m3u8
d0312,http://38.64.72.148/hls/modn/list/4312/chunklist1.m3u8
d0313,http://38.64.72.148/hls/modn/list/4313/chunklist1.m3u8
d0314,http://38.64.72.148/hls/modn/list/4314/chunklist1.m3u8
d0315,http://38.64.72.148/hls/modn/list/4315/chunklist1.m3u8
d0316,http://38.64.72.148/hls/modn/list/4316/chunklist1.m3u8
d0317,http://38.64.72.148/hls/modn/list/4317/chunklist1.m3u8
d0318,http://38.64.72.148/hls/modn/list/4318/chunklist1.m3u8
d0319,http://38.64.72.148/hls/modn/list/4319/chunklist1.m3u8
d0320,http://38.64.72.148/hls/modn/list/4320/chunklist1.m3u8
d0321,http://38.64.72.148/hls/modn/list/4321/chunklist1.m3u8
d0322,http://38.64.72.148/hls/modn/list/4322/chunklist1.m3u8
d0323,http://38.64.72.148/hls/modn/list/4323/chunklist1.m3u8
d0324,http://38.64.72.148/hls/modn/list/4324/chunklist1.m3u8
d0325,http://38.64.72.148/hls/modn/list/4325/chunklist1.m3u8
d0326,http://38.64.72.148/hls/modn/list/4326/chunklist1.m3u8
d0327,http://38.64.72.148/hls/modn/list/4327/chunklist1.m3u8
d0328,http://38.64.72.148/hls/modn/list/4328/chunklist1.m3u8
d0329,http://38.64.72.148/hls/modn/list/4329/chunklist1.m3u8
d0330,http://38.64.72.148/hls/modn/list/4330/chunklist1.m3u8
d0331,http://38.64.72.148/hls/modn/list/4331/chunklist1.m3u8
